,index,Majors,Terms in Attendance
164,31,"Conserv & Resource Stds BS, Data Science BA, Letters & Sci Undeclared UG",8
165,92,Applied Mathematics BA,7
166,152,Civil Engineering BS,5
167,232,Letters & Sci Undeclared UG,5
168,344,Data Science BA,7
169,102,Economics BA,7
170,90,Chemical Biology BS,7
171,124,"Data Science BA, Public Health BA",7
172,129,Legal Studies BA,7
173,143,Computer Science BA,5
174,240,Chemical Engineering BS,8
175,130,Energy Engineering BS,7
176,245,Economics BA,8
177,324,Chemical Engineering BS,7
178,309,Letters & Sci Undeclared UG,3
179,185,Industrial Eng & Ops Rsch BS,5
180,243,Applied Mathematics BA,8
181,110,"Applied Mathematics BA, Physics BA",7
182,86,Chemical Engineering BS,7
183,205,Letters & Sci Undeclared UG,5
184,178,"Computer Science BA, Economics BA",5
185,321,Electrical Eng & Comp Sci BS,7
186,18,"Economics BA, Society and Environment BS",8
187,210,Letters & Sci Undeclared UG,5
188,91,Chemical Engineering BS,7
189,306,Letters & Sci Undeclared UG,3
190,361,Data Science BA,7
191,273,Economics BA,5
192,315,Environmental Sciences BS,3
193,40,Data Science BA,8
194,252,Computer Science BA,8
195,314,Letters & Sci Undeclared UG,3
196,342,Electrical Eng & Comp Sci BS,7
197,80,Economics BA,7
198,353,Electrical Eng & Comp Sci BS,7
199,26,Bioengineering BS,6
200,322,Statistics BA,7
201,237,Cognitive Science BA,5
202,149,Summer UC Los Angeles Vis UG,U
203,94,Chemical Engineering BS,7
204,209,Molecular Environ Biology BS,5
205,254,Computer Science BA,8
206,338,Electrical Eng & Comp Sci BS,7
207,391,Summer Internatnl Visitor UG,U
208,140,Letters & Sci Undeclared UG,5
209,5,Sociology BA,8
210,197,Data Science BA,5
211,51,Electrical Eng & Comp Sci BS,7
212,390,Summer UC San Diego Visitor UG,U
213,257,Statistics BA,8
214,83,Materials Science & Eng BS,7
215,284,Electrical Eng & Comp Sci BS,3
216,155,Economics BA,5
217,356,Letters & Sci Undeclared UG,7
218,60,Industrial Eng & Ops Rsch MEng,G
219,275,Computer Science BA,5
220,378,Summer Internatnl Visitor UG,U
221,375,Summer Internatnl Visitor UG,U
222,384,Summer Domestic Visitor UG,U
223,164,Materials Science & Eng BS,5
224,138,Industrial Eng & Ops Rsch BS,5
225,32,"Computer Science BA, Economics BA",8
226,346,Computer Science BA,7
227,184,"Chemical Engineering BS, Letters & Sci Undeclared UG",5
228,216,Linguistics BA,5
229,294,Letters & Sci Undeclared UG,3
230,115,Civil Engineering BS,5
231,114,Cognitive Science BA,8
232,293,Letters & Sci Undeclared UG,3
233,226,Cognitive Science BA,5
234,327,Electrical Eng & Comp Sci BS,7
235,154,Data Science BA,5
236,74,Cognitive Science BA,7
237,0,Electrical Eng & Comp Sci MEng,G
238,253,Economics BA,8
239,292,Letters & Sci Undeclared UG,3
240,87,Letters & Sci Undeclared UG,7
241,96,"CNR Undeclared UG, Data Science BA",7
242,128,Economics BA,7
243,251,Economics BA,8
244,59,Letters & Sci Undeclared UG,8
245,328,Letters & Sci Undeclared UG,7
246,388,Summer Domestic Visitor UG,U
247,10,"Data Science BA, Electrical Eng & Comp Sci BS",8
248,45,Economics BA,8
249,176,Letters & Sci Undeclared UG,5
250,202,Letters & Sci Undeclared UG,5
251,281,Summer UC San Diego Visitor UG,U
252,235,"Applied Mathematics BA, Industrial Eng & Ops Rsch BS",5
253,61,Bioengineering BS,7
254,386,Summer Domestic Visitor UG,U
255,153,Industrial Eng & Ops Rsch BS,5
256,276,Applied Mathematics BA,6
257,146,Electrical Eng & Comp Sci BS,5
258,228,Environ Econ & Policy BS,5
259,286,Industrial Eng & Ops Rsch MEng,G
260,291,Letters & Sci Undeclared UG,3
261,260,Molecular & Cell Biology PhD,G
262,201,Civil Engineering BS,5
263,179,Economics BA,5
264,158,Civil Engineering BS,5
265,366,Letters & Sci Undeclared UG,3
266,194,"Business Administration BS, Letters & Sci Undeclared UG",5
267,3,Computer Science BA,7
268,113,Summer Internatnl Visitor UG,U
269,255,Chemical Engineering BS,8
270,337,Chemical Biology BS,7
271,318,Letters & Sci Undeclared UG,3
272,349,Data Science BA,7
273,215,Letters & Sci Undeclared UG,5
274,261,Chemical Engineering BS,5
275,47,Nutritional Sci-Toxicology BS,8
276,362,Electrical Eng & Comp Sci BS,7
277,183,Computer Science BA,5
278,95,Chemical Engineering BS,7
279,117,"Mathematics BA, Statistics BA",7
280,332,Computer Science BA,7
281,360,Letters & Sci Undeclared UG,7
282,67,Letters & Sci Undeclared UG,6
283,277,Applied Mathematics BA,8
284,27,Nutritional Sci-Toxicology BS,8
285,104,Mechanical Engineering BS,7
286,379,Summer UC San Diego Visitor UG,U
287,4,Electrical Eng & Comp Sci BS,8
288,121,Civil Engineering BS,7
289,120,Computer Science BA,7
290,85,"Data Science BA, Environ Econ & Policy BS",7
291,234,"Bioengineering BS, Electrical Eng & Comp Sci BS",5
292,282,"Business Administration BS, Electrical Eng & Comp Sci BS",3
293,211,Data Science BA,5
294,326,Electrical Eng & Comp Sci BS,7
295,37,Data Science BA,8
296,108,Industrial Eng & Ops Rsch BS,7
297,93,Industrial Eng & Ops Rsch BS,7
298,340,Applied Mathematics BA,7
299,103,Computer Science BA,6
300,280,Summer UC San Diego Visitor UG,U
301,364,Statistics BA,7
302,107,Data Science BA,7
303,238,Political Science BA,5
304,84,Mechanical Engineering BS,7
305,323,Business Administration BS,7
306,11,"Chemical Engineering BS, Computer Science BA",8
307,150,Summer Internatnl Visitor UG,U
308,199,Mechanical Engineering BS,5
309,289,Electrical Eng & Comp Sci BS,3
310,88,Cognitive Science BA,7
311,105,Economics BA,7
312,145,Applied Mathematics BA,5
313,302,Letters & Sci Undeclared UG,3
314,44,"Environ Econ & Policy BS, Letters & Sci Undeclared UG",5
315,242,Computer Science BA,8
316,15,Cognitive Science BA,7
317,249,Applied Mathematics BA,8
318,347,Chemical Engineering BS,7
319,112,Data Science BA,8
320,186,Chemistry BS,5
321,319,Summer Domestic Visitor UG,U
322,299,Letters & Sci Undeclared UG,3
323,295,Letters & Sci Undeclared UG,3
324,141,Computer Science BA,5
325,264,Letters & Sci Undeclared UG,5
326,134,Electrical Eng & Comp Sci BS,5
327,181,"Bioengineering BS, Letters & Sci Undeclared UG",5
328,381,Letters & Sci Undeclared UG,5
329,367,Electrical Eng & Comp Sci BS,3
330,266,"Applied Mathematics BA, Computer Science BA",5
